frame,timestamp,id,Label,pos_x,pos_y,for_x,for_y,deltaTime,frameRateRaw,frameRateSmooth,totalActiveAgents
317,1.575306,-394,PedestrianHead,-18.00221,11.69925,0.9720643,-0.1309384,0.02173406,46.01072,39.32967,1
318,1.604324,-192,Pedestrian,-17.98903,11.73637,0.9978778,0.06511509,0.02765641,36.15798,38.06825,1
318,1.604324,-394,PedestrianHead,-17.96157,11.70451,0.967732,-0.1620516,0.02765641,36.15798,38.06825,1
319,1.632496,-192,Pedestrian,-17.94457,11.7379,0.9994088,0.03438264,0.02901771,34.46171,37.2804,1
319,1.632496,-394,PedestrianHead,-17.91935,11.70842,0.9621679,-0.1926848,0.02901771,34.46171,37.2804,1
320,1.660154,-192,Pedestrian,-17.90139,11.7381,0.9999898,0.004509687,0.02817271,35.49534,35.31778,1
320,1.660154,-394,PedestrianHead,-17.87707,11.70934,0.9553731,-0.2209862,0.02817271,35.49534,35.31778,1
321,1.68615,-192,Pedestrian,-17.85901,11.73704,0.999692,-0.02482152,0.02765761,36.15642,35.61916,1
321,1.68615,-394,PedestrianHead,-17.83513,11.70838,0.9478599,-0.2483907,0.02765761,36.15642,35.61916,1
322,1.713464,-192,Pedestrian,-17.8192,11.7354,0.9991496,-0.04123521,0.02599526,38.46854,37.18027,1
322,1.713464,-394,PedestrianHead,-17.79566,11.70679,0.9416322,-0.2685053,0.02599526,38.46854,37.18027,1
323,1.741807,-192,Pedestrian,-17.77737,11.73367,0.9991496,-0.04123521,0.02731433,36.61082,37.07726,1
323,1.741807,-394,PedestrianHead,-17.75345,11.70541,0.9378546,-0.2789912,0.02731433,36.61082,37.07726,1
324,1.755879,-192,Pedestrian,-17.73396,11.73188,0.9991496,-0.04123521,0.02834375,35.28114,36.31753,1
324,1.755879,-394,PedestrianHead,-17.70878,11.70365,0.9338765,-0.2904359,0.02834375,35.28114,36.31753,1
325,1.769098,-192,Pedestrian,-17.71241,11.73099,0.9991496,-0.04123521,0.01407214,71.06242,53.43772,1
325,1.769098,-394,PedestrianHead,-17.69135,11.70273,0.9419972,-0.2711586,0.01407214,71.06242,53.43772,1
326,1.782615,-192,Pedestrian,-17.69216,11.73016,0.9991496,-0.04123521,0.01321865,75.65071,66.20031,1
326,1.782615,-394,PedestrianHead,-17.67296,11.70131,0.945556,-0.2622987,0.01321865,75.65071,66.20031,1
327,1.796881,-192,Pedestrian,-17.67146,11.7293,0.9991496,-0.04123521,0.01351667,73.98273,73.89906,1
327,1.796881,-394,PedestrianHead,-17.65414,11.6996,0.9488708,-0.2534784,0.01351667,73.98273,73.89906,1
328,1.810456,-192,Pedestrian,-17.64961,11.7284,0.9991496,-0.04123521,0.01426641,70.09473,72.37232,1
328,1.810456,-394,PedestrianHead,-17.63428,11.69756,0.95231,-0.2436873,0.01426641,70.09473,72.37232,1
329,1.82501,-192,Pedestrian,-17.62882,11.72754,0.9991496,-0.04123521,0.01357448,73.66765,72.65879,1
