frame,timestamp,id,Label,pos_x,pos_y,for_x,for_y,deltaTime,frameRateRaw,frameRateSmooth,totalActiveAgents
317,1.303847,-192,Pedestrian,21.29768,12.31927,-0.9362152,0.3514273,0.02803662,35.66764,36.60327,1
317,1.303847,-394,PedestrianHead,21.26892,12.2954,-0.9675598,0.1674187,0.02803662,35.66764,36.60327,1
318,1.333098,-192,Pedestrian,21.25967,12.33226,-0.9462672,0.3233861,0.02719276,36.77449,36.86097,1
318,1.333098,-394,PedestrianHead,21.23035,12.30599,-0.972534,0.1315044,0.02719276,36.77449,36.86097,1
319,1.360725,-192,Pedestrian,21.21835,12.34492,-0.9561513,0.2928734,0.02925021,34.18779,35.25977,1
319,1.360725,-394,PedestrianHead,21.18928,12.31572,-0.9766294,0.09367478,0.02925021,34.18779,35.25977,1
320,1.38935,-192,Pedestrian,21.17898,12.35568,-0.9645903,0.2637532,0.02762761,36.19568,35.70907,1
320,1.38935,-394,PedestrianHead,21.15025,12.32375,-0.9791067,0.05869091,0.02762761,36.19568,35.70907,1
321,1.416553,-192,Pedestrian,21.13786,12.36555,-0.9724041,0.2333028,0.02862485,34.93468,35.1636,1
321,1.416553,-394,PedestrianHead,21.10939,12.33128,-0.9800451,0.02247739,0.02862485,34.93468,35.1636,1
322,1.44358,-192,Pedestrian,21.09852,12.37375,-0.9789435,0.2041317,0.02720308,36.76055,36.09982,1
322,1.44358,-394,PedestrianHead,21.07039,12.33719,-0.9798582,-0.01472473,0.02720308,36.76055,36.09982,1
323,1.470865,-192,Pedestrian,21.05921,12.38074,-0.984577,0.1749519,0.02702677,37.00035,36.51528,1
323,1.470865,-394,PedestrianHead,21.03009,12.34193,-0.9784529,-0.05177987,0.02702677,37.00035,36.51528,1
324,1.499485,-192,Pedestrian,21.01933,12.38659,-0.9893847,0.145321,0.02728505,36.6501,36.77726,1
324,1.499485,-394,PedestrianHead,20.98917,12.34533,-0.9757961,-0.08920944,0.02728505,36.6501,36.77726,1
325,1.526946,-192,Pedestrian,20.97732,12.39142,-0.993471,0.114085,0.02861995,34.94066,35.86543,1
325,1.526946,-394,PedestrianHead,20.94664,12.34729,-0.9715336,-0.1288391,0.02861995,34.94066,35.86543,1
326,1.556182,-192,Pedestrian,20.93689,12.39482,-0.9964661,0.08399659,0.02746078,36.41557,36.02,1
326,1.556182,-394,PedestrianHead,20.90727,12.34793,-0.9659262,-0.1673173,0.02746078,36.41557,36.02,1
327,1.582715,-192,Pedestrian,20.89376,12.39706,-0.9986539,0.05186772,0.02923672,34.20356,35.01458,1
327,1.582715,-394,PedestrianHead,20.86676,12.34768,-0.9587624,-0.2072729,0.02923672,34.20356,35.01458,1
328,1.611179,-192,Pedestrian,20.85457,12.39795,-0.9997433,0.02265698,0.02653255,37.68955,36.38895,1
328,1.611179,-394,PedestrianHead,20.83111,12.34689,-0.9509596,-0.2432631,0.02653255,37.68955,36.38895,1
329,1.63808,-192,Pedestrian,20.81252,12.39759,-0.999962,-0.008706331,0.02846448,35.1315,35.71333,1
329,1.63808,-394,PedestrianHead,20.79375,12.34529,-0.9407077,-0.2823817,0.02846448,35.1315,35.71333,1
330,1.666481,-192,Pedestrian,20.77281,12.39606,-0.9992649,-0.0383389,0.02690026,37.17436,36.66454,1
330,1.666481,-394,PedestrianHead,20.75862,12.34264,-0.9295101,-0.318408,0.02690026,37.17436,36.66454,1
331,1.694163,-192,Pedestrian,20.73095,12.39325,-0.9977493,-0.06705511,0.02840073,35.21036,35.78379,1
331,1.694163,-394,PedestrianHead,20.7212,12.3387,-0.9184564,-0.3495388,0.02840073,35.21036,35.78379,1
332,1.723026,-192,Pedestrian,20.69014,12.39051,-0.9977493,-0.06705511,0.02768224,36.12424,36.0601,1
332,1.723026,-394,PedestrianHead,20.68239,12.33533,-0.9187912,-0.3485205,0.02768224,36.12424,36.0601,1
333,1.749946,-192,Pedestrian,20.6476,12.38765,-0.9977493,-0.06705511,0.02886328,34.64609,35.20239,1
333,1.749946,-394,PedestrianHead,20.64176,12.33227,-0.9199805,-0.3447299,0.02886328,34.64609,35.20239,1
334,1.777399,-192,Pedestrian,20.60792,12.38498,-0.9977493,-0.06705511,0.02692016,37.14688,36.19212,1
334,1.777399,-394,PedestrianHead,20.60443,12.33103,-0.9323151,-0.3139858,0.02692016,37.14688,36.19212,1
335,1.805492,-192,Pedestrian,20.56745,12.38226,-0.9977493,-0.06705499,0.02745229,36.42683,36.2867,1
335,1.805492,-394,PedestrianHead,20.56585,12.32872,-0.9431241,-0.2836851,0.02745229,36.42683,36.2867,1
336,1.823171,-192,Pedestrian,20.52604,12.37948,-0.9977493,-0.06705511,0.02809318,35.59583,36.15534,1
336,1.823171,-394,PedestrianHead,20.52659,12.32642,-0.9529403,-0.2533644,0.02809318,35.59583,36.15534,1
337,1.846816,-192,Pedestrian,20.49998,12.37773,-0.9977493,-0.06705499,0.01767891,56.56458,46.24641,1
337,1.846816,-394,PedestrianHead,20.50296,12.32542,-0.960501,-0.2284372,0.01767891,56.56458,46.24641,1
