TP9,AF7,AF8,TP10,unix_sec,unix_ms,rel_sec,rel_ms
821.1722,849.3773,802.23444,799.011,1758146960.796,1758146960796,0.0989999771118164,99
913.8461,926.7399,809.4872,884.43225,1758146960.862,1758146960862,0.16499996185302734,165
805.05493,745.42126,809.89014,822.381,1758146960.863,1758146960863,0.1659998893737793,166
706.7399,712.381,806.26373,732.1245,1758146960.863,1758146960863,0.1659998893737793,166
790.9524,823.1868,801.8315,774.83514,1758146960.863,1758146960863,0.1659998893737793,166
906.5934,919.0842,804.2491,866.7033,1758146960.864,1758146960864,0.16700005531311035,167
840.5128,864.68866,805.8608,838.0952,1758146960.864,1758146960864,0.16700005531311035,167
712.7839,693.44324,800.6227,739.3773,1758146960.864,1758146960864,0.16700005531311035,167
753.0769,789.34064,795.78754,740.58606,1758146960.865,1758146960865,0.1679999828338623,168
884.0293,934.7985,797.3993,839.707,1758146960.865,1758146960865,0.1679999828338623,168
873.1502,779.67035,802.23444,863.8828,1758146960.865,1758146960865,0.1679999828338623,168
736.55676,653.95605,799.41394,762.3443,1758146960.866,1758146960866,0.16899991035461426,169
722.0513,724.87177,795.38464,722.0513,1758146960.866,1758146960866,0.16899991035461426,169
852.1978,911.4286,797.8022,810.696,1758146960.89,1758146960890,0.19300007820129395,193
896.1172,920.696,805.05493,873.5531,1758146960.89,1758146960890,0.19300007820129395,193
766.3736,729.304,807.0696,795.78754,1758146960.891,1758146960891,0.1940000057220459,194
