unix_sec,unix_ms,rel_sec,rel_ms,TP9,TP10,AF7,AF8
1758146968.88,1758146968880,8.183000087738037,8183,1018.60803,981.53845,992.8205,799.81683
1758146968.88,1758146968880,8.183000087738037,8183,913.44324,937.2161,712.7839,800.2198
1758146968.881,1758146968881,8.184000015258789,8184,766.77655,826.8132,552.4176,796.99634
1758146968.881,1758146968881,8.184000015258789,8184,828.022,860.2564,790.54944,796.1905
1758146968.881,1758146968881,8.184000015258789,8184,968.24176,978.71796,930.3663,803.44324
1758146968.882,1758146968882,8.184999942779541,8185,927.1429,970.65936,780.07324,803.44324
1758146968.882,1758146968882,8.184999942779541,8185,778.0586,845.34796,593.1135,794.57874
1758146968.914,1758146968914,8.217000007629395,8217,796.99634,823.5897,749.85345,793.36993
1758146968.915,1758146968915,8.217999935150146,8218,951.7216,936.8132,945.6777,798.20514
1758146968.918,1758146968918,8.220999956130981,8221,974.2857,973.8828,838.9011,800.6227
1758146968.918,1758146968918,8.220999956130981,8221,823.1868,863.0769,632.1978,798.20514
1758146968.919,1758146968919,8.221999883651733,8222,779.67035,808.68134,693.0403,794.57874
1758146968.919,1758146968919,8.221999883651733,8222,914.65204,900.9524,962.1978,797.8022
1758146968.92,1758146968920,8.223000049591064,8223,992.8205,973.0769,916.6667,800.6227
1758146968.92,1758146968920,8.223000049591064,8223,871.53845,890.4762,672.8938,795.78754
1758146968.921,1758146968921,8.223999977111816,8224,766.77655,792.5641,661.6117,790.14655
1758146968.921,1758146968921,8.223999977111816,8224,866.7033,851.79486,809.89014,789.7436
1758146968.922,1758146968922,8.224999904632568,8225,992.4176,960.18317,887.25275,794.57874
1758146968.922,1758146968922,8.224999904632568,8225,911.8315,918.2784,735.34796,796.99634
1758146968.949,1758146968949,8.251999855041504,8252,777.25275,800.6227,642.27106,793.7729
1758146968.95,1758146968950,8.253000020980835,8253,832.8571,817.9487,804.2491,790.9524
1758146968.95,1758146968950,8.253000020980835,8253,974.2857,933.9927,956.1539,798.20514
1758146968.95,1758146968950,8.253000020980835,8253,944.4689,940.0366,808.2784,801.02563
1758146968.951,1758146968951,8.253999948501587,8254,788.1319,825.6044,662.8205,794.17584
1758146968.951,1758146968951,8.253999948501587,8254,779.2674,794.9817,793.7729,792.96704
1758146968.952,1758146968952,8.254999876022339,8255,924.7253,894.10254,925.5311,794.9817
1758146968.952,1758146968952,8.254999876022339,8255,965.82416,942.8571,810.293,798.20514
1758146968.952,1758146968952,8.254999876022339,8255,821.978,839.707,670.07324,797.8022
1758146968.952,1758146968952,8.254999876022339,8255,744.61536,764.7619,704.3223,792.96704
1758146968.953,1758146968953,8.25600004196167,8256,867.9121,852.1978,820.3663,796.1905
