unix_sec,unix_ms,rel_sec,rel_ms,Delta_TP9,Delta_TP10,Delta_AF7,Delta_AF8,Theta_TP9,Theta_TP10,Theta_AF7,Theta_AF8,Alpha_TP9,Alpha_TP10,Alpha_AF7,Alpha_AF8,Beta_TP9,Beta_TP10,Beta_AF7,Beta_AF8,Gamma_TP9,Gamma_TP10,Gamma_AF7,Gamma_AF8
1758146975.74,1758146975740,15.042999982833862,15043,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.74,1758146975740,15.042999982833862,15043,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.741,1758146975741,15.043999910354614,15044,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.768,1758146975768,15.07099986076355,15071,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.769,1758146975769,15.07200002670288,15072,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.769,1758146975769,15.07200002670288,15072,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.77,1758146975770,15.072999954223633,15073,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.77,1758146975770,15.072999954223633,15073,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.77,1758146975770,15.072999954223633,15073,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.77,1758146975770,15.072999954223633,15073,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
